"CONTRATO";"OBJETO_CONTRATO";"NUMERO_SEQUENCIAL_PARALISACAO";"DATA_PARALISACAO";"TERMO_PARALISACAO";"DATA_REINICIO";"TERMO_REINICIO";"NUMERO_DIAS_PARALISADOS";"JUSTIFICATIVA_PARALISACAO"
CT-00005/2018/SES-FESAUDE;HOSPITAL REGIONAL SÃO PAULO - XANXERÊ;1;2020-04-09 00:00:00;"1";2020-09-16 00:00:00;"0001";160;
CT-00005/2018/SES-FESAUDE;HOSPITAL REGIONAL SÃO PAULO - XANXERÊ;2;2021-07-01 00:00:00;paralisação-02;2021-10-18 00:00:00;"02";109;
CT-00005/2018/SES-FESAUDE;HOSPITAL REGIONAL SÃO PAULO - XANXERÊ;3;2022-04-22 00:00:00;"3";;;45;
CT-00187/2018/SSP-FUMCBM;CORPO DE BOMBEIROS MILITAR;1;2018-10-31 00:00:00;"01";;;0;
CT-00007/2018/SED;EEB RUI BARBOSA;1;2020-03-18 00:00:00;Decreto;2020-03-25 00:00:00;Port 191/2020;7;
CT-00007/2018/SED;EEB RUI BARBOSA;2;2020-08-01 00:00:00;N/D;2020-10-01 00:00:00;N/D;61;
CT-00040/2018/DETER;ATERRO DA BAHIA SUL - TERMINAL RITA MARIA;1;2018-04-24 00:00:00;"001/2018";2018-09-24 00:00:00;"001/2018/DETER";153;
CT-00013/2018/ADR-JVE;EEB DR. TUFI DIPPE, EEM DEPUTADO NAGIB ZATTAR, EEB TITOLIVIO VENÂNCIO ROSA;1;2018-11-14 00:00:00;"01";2018-12-27 00:00:00;"01";43;
CT-00714/2018/UDESC;UDESC-FACULDADE DE ENGENHARIA DE JOINVILLE;1;2020-03-24 00:00:00;DECRETO Nº 525, DE 2;2020-04-02 00:00:00;PORTARIA Nº 214 ? DE;9;
CT-00019/2018/ADR-JVE;EEB DR. JORGE LACERDA;1;2018-11-14 00:00:00;"01";2019-12-11 00:00:00;"04";392;
CT-00020/2018/ADR-JVE;EEB SANTA CATARINA;1;2018-11-14 00:00:00;"01";2019-12-10 00:00:00;"03";391;
CT-00018/2018/ADR-JVE;EEB PROF. JANDIRA D AVILA;1;2018-11-14 00:00:00;"01";2019-10-09 00:00:00;"001";329;
CC-00007/2018/ADR-VII;EEB GOV. IRINEU BORNHAUSEN;1;2020-03-18 00:00:00;Primeiro;2020-04-14 00:00:00;Primeiro;27;
CT-00550/2018/SES-FESAUDE;HOSPITAL CELSO RAMOS;1;2018-12-10 00:00:00;"1º Termo Paralisação";2019-01-29 00:00:00;"1º Termo Reinício";50;
CT-00024/2018/ADR-JVE;EEB ENG. ANNES GUALBERTO;1;2018-11-14 00:00:00;"01";2018-12-27 00:00:00;"01";43;
CT-00013/2018/SES-FESAUDE;SDR VIDEIRA;1;2019-03-23 00:00:00;"1º Termo Paralisação";2019-05-30 00:00:00;Termo de Reinicio;68;
CT-00013/2018/SES-FESAUDE;SDR VIDEIRA;2;2019-06-02 00:00:00;"2º Termo";2019-06-20 00:00:00;"2º Termo";18;
CT-00032/2018/SED;EEB. ANTÔNIO COLONETTI;1;2019-10-29 00:00:00;"001";2019-11-30 00:00:00;"001";32;
CT-00032/2018/SES-FESAUDE;HOSPITAL REGIONAL HANS DIETER SCHMIDT;1;2021-10-01 00:00:00;"1";;;248;
CT-00652/2018/SES-FESAUDE;HOSPITAL INFANTIL JOANA DE GUSMÃO - HOSPITAL NEREU RAMOS(PROJETO DE DOAÇÃO EM TRAMITAÇÃO LEI 17.407);1;2019-02-10 00:00:00;"1º Termo Paralisação";2019-04-15 00:00:00;"1º Termo Reinício ";64;
CT-00039/2018/ADR-JVE;EEB DOM GREGÓRIO WARMELING;1;2018-12-10 00:00:00;"01";2019-03-06 00:00:00;"01";86;
CT-00704/2018/SES-FESAUDE;HOSPITAL REGIONAL DE SÃO JOSÉ - DR. HOMERO DE MIRANDA GOMES;1;2020-03-18 00:00:00;"1º Termo";2020-04-01 00:00:00;Portaria 214/20;14;
CT-00705/2018/SES-FESAUDE;HOSPITAL E MATERNIDADE TEREZA RAMOS;1;2020-04-03 00:00:00;Paralisação 01;2020-09-24 00:00:00;"14/2020";174;
CT-00705/2018/SES-FESAUDE;HOSPITAL E MATERNIDADE TEREZA RAMOS;2;2021-05-01 00:00:00;Paralisação_02;2021-06-09 00:00:00;Reinício_02;39;
CT-01006/2018/SSP-FUMPOM;POLICIA MILITAR DE SANTA CATARINA;1;2018-11-15 00:00:00;"001";2019-06-12 00:00:00;"001";209;
CT-00021/2018/ADR-CCO;RODOVIAS ESTADUAIS;1;2019-05-23 00:00:00;"01";;;1110;
CT-00157/2018/SED;EEB PREF. HIGINO AGUIAR;1;2019-01-03 00:00:00;"01";2019-08-29 00:00:00;"01";238;
CT-00069/2018/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2019-12-17 00:00:00;"01";2020-09-14 00:00:00;"001-2020";272;
CT-00071/2018/SJC-FPSC;INSTITUTO DE PSIQUIATRIA - HOSPITAL SANTA TEREZA E COMPLEXO PENITENCIÁRIO SÃO PEDRO DE ALCÂNTARA;1;2020-01-22 00:00:00;"001";2020-04-07 00:00:00;"001";76;
CT-01071/2018/SSP-FUMPOM;TORRE DE RÁDIO DA PMSC;1;2018-12-26 00:00:00;"001";2019-02-13 00:00:00;"001";49;
CT-01071/2018/SSP-FUMPOM;TORRE DE RÁDIO DA PMSC;2;2019-02-18 00:00:00;"002";2019-04-29 00:00:00;"003";70;
CT-00044/2018/ADR-TRO;EEB MARIA DUARTE VASCONCELOS;1;2020-03-18 00:00:00;DECRETO N 515;2020-04-01 00:00:00;Portaria 191/2020SES;14;
CT-00048/2018/ADR-TRO;EEB JERÔNIMO COELHO;1;2020-03-18 00:00:00;"0370/2020";2020-04-01 00:00:00;Portaria 191/2020SES;14;
CT-00205/2018/SED;EEB FELIPE SCHMIDT;1;2020-03-18 00:00:00;"01";2020-03-25 00:00:00;"01";7;
CT-02465/2018/UDESC;UDESC  (SECRETARIA DO ESTADO DA FAZENDA SC) TRANSFERÊNCIA DO IMÓVEL PARA UDESC;1;2020-05-12 00:00:00;Termo de paralisação;2020-11-16 00:00:00;Termo de reic;188;
CT-00052/2018/ADR-TRO;ESCOLA DE EDUCAÇÃO BÁSICA MONSENHOR BERNARDO PETERS;1;2020-03-18 00:00:00;"0370/2020";2020-04-01 00:00:00;Portaria 191/2020SES;14;
CT-00021/2018/SIE-GAB;VIAS MUNICIPAIS;1;2019-10-21 00:00:00;"015/2019";;;959;
PJ-00034/2017;BR 101 - GASPAR (RODOVIA JORGE LACERDA);1;2019-12-19 00:00:00;"021/2019";;;;
PJ-00018/2017;BR 116 - ENTRONC. ACESSO AO BODEGÃO - SÃO JORGE;1;2020-03-20 00:00:00;"013/2020";2020-04-01 00:00:00;"009/2020";12;
PJ-00018/2017;BR 116 - ENTRONC. ACESSO AO BODEGÃO - SÃO JORGE;2;2020-04-30 00:00:00;"014/2020";;;767;
TC-00001/2017;ÁGUA DOCE - TREZE TÍLIAS (TIROL);1;2018-06-19 00:00:00;"001/2018";2018-08-27 00:00:00;"001/2018";69;
PJ-00076/2017;SUPERVISÃO OBRAS ACESSO AO AEROPORTO HERCÍLIO LUZ;1;2019-01-28 00:00:00;"001/2019";2019-03-08 00:00:00;"003/2019";39;
PJ-00078/2017;ACESSO AO FAROL DE SANTA MARTA;1;2018-07-27 00:00:00;"004/2018";2018-08-08 00:00:00;"005/2018";12;
PJ-00080/2017;TANGARÁ - LUZERNA;1;2018-06-01 00:00:00;"002/2018";2018-08-15 00:00:00;"004/2018";75;
PJ-00080/2017;TANGARÁ - LUZERNA;2;2018-12-10 00:00:00;"006/2018";2019-01-28 00:00:00;"001/2019";49;
PJ-00090/2017;CELSO RAMOS - ANITA GARIBALDI;1;2018-10-08 00:00:00;"004/2018";2020-09-01 00:00:00;"017/2020";694;
PJ-00099/2017;BR 116 - SÃO JORGE E ACESSO AO BODEGÃO;1;2020-03-20 00:00:00;"014/2020";2020-04-01 00:00:00;"011/2020";12;
PJ-00099/2017;BR 116 - SÃO JORGE E ACESSO AO BODEGÃO;2;2020-08-03 00:00:00;"027/2020";2021-02-10 00:00:00;"03/2021";191;
PJ-00099/2017;BR 116 - SÃO JORGE E ACESSO AO BODEGÃO;3;2021-02-11 00:00:00;"004/2021";2021-08-18 00:00:00;"018/2021";188;
PJ-00099/2017;BR 116 - SÃO JORGE E ACESSO AO BODEGÃO;4;2021-08-20 00:00:00;"012/2021";2021-09-13 00:00:00;"021/2021";24;
TC-00002/2017;ÁGUA DOCE - TREZE TÍLIAS  (TIROL);1;2018-06-19 00:00:00;"002/2018";2018-08-27 00:00:00;"002/2018";69;
PJ-00122/2017;SUPERVISÃO JABORÁ - OURO / BR 153 - JABORÁ;1;2019-03-15 00:00:00;"004/2019";2019-11-01 00:00:00;"012/2019";231;
PJ-00122/2017;SUPERVISÃO JABORÁ - OURO / BR 153 - JABORÁ;2;2020-03-02 00:00:00;"004/2020";2020-05-15 00:00:00;"013/2020";74;
PJ-00119/2017;JABORÁ - OURO;1;2019-01-08 00:00:00;"001/2019";2019-01-28 00:00:00;"001/2019";20;
PJ-00144/2017;INTERSEÇÃO SC-301: BR-282 RIO NEGRINHO - SÃO BENTO;1;2017-11-01 00:00:00;"009/2017";;;;
PJ-00179/2017;REVISÃO PROJ. PAV. SC-370, TR: URUBICI - GRÃO PARÁ;1;2018-01-16 00:00:00;"001/2018";2018-10-05 00:00:00;"004/2018";262;
PJ-00179/2017;REVISÃO PROJ. PAV. SC-370, TR: URUBICI - GRÃO PARÁ;2;2018-12-12 00:00:00;"005/2018";2019-08-01 00:00:00;"003/2019";232;
PJ-00185/2017;MONITORAMENTO AMBIENTAL PONTE BARRA DA LAGOA;1;2017-12-01 00:00:00;"010/2017";2018-09-10 00:00:00;"003/2018";283;
PJ-00185/2017;MONITORAMENTO AMBIENTAL PONTE BARRA DA LAGOA;2;2019-01-03 00:00:00;"001/2019";2019-09-19 00:00:00;"004/2019";259;
PJ-00177/2017;MANUTENÇÃO SEMAFOROS SC 401 E SC405;1;2019-09-27 00:00:00;"003/2019";2019-11-22 00:00:00;"027/2019";56;
TC-00003/2017;TREVO NA SC-160 - KM 60,46 - (TIROL);1;2017-06-30 00:00:00;"001/2017";2018-03-01 00:00:00;"001/2018";244;
PJ-00196/2017;URUSSANGA - CRICIÚMA E SP ALCÂNTARA - ANGELINA;2;2019-04-22 00:00:00;"003/2019";2019-05-02 00:00:00;"001/2019";10;
PJ-00196/2017;URUSSANGA - CRICIÚMA E SP ALCÂNTARA - ANGELINA;3;2019-07-26 00:00:00;"007/2019";2019-12-04 00:00:00;"007/2019";131;
PJ-00196/2017;URUSSANGA - CRICIÚMA E SP ALCÂNTARA - ANGELINA;4;2020-02-11 00:00:00;"001/2020";2020-12-15 00:00:00;"004/2020";308;
PJ-00196/2017;URUSSANGA - CRICIÚMA E SP ALCÂNTARA - ANGELINA;5;2021-03-31 00:00:00;"001/2021";2021-05-04 00:00:00;"002/2021";34;
PJ-00198/2017;PRESIDENTE NEREU - DISTRITO SALGUEIRO E CONTORNOS;1;2019-05-02 00:00:00;"006/2019";;;1131;
PJ-00202/2017;GUARAMIRIM - MASSARANDUBA /CONTORNO JARAGUÁ DO SUL;1;2019-05-02 00:00:00;"005/2019";2019-07-22 00:00:00;"002/2019";81;
PJ-00202/2017;GUARAMIRIM - MASSARANDUBA /CONTORNO JARAGUÁ DO SUL;2;2019-11-19 00:00:00;"008/2019";2020-09-01 00:00:00;"004/2020";287;
PJ-00202/2017;GUARAMIRIM - MASSARANDUBA /CONTORNO JARAGUÁ DO SUL;3;2021-03-01 00:00:00;"010/2021";2021-10-01 00:00:00;"017/2021";214;
PJ-00199/2017;GASPAR - BRUSQUE E MACIEIRA - ARROIO TRINTA;1;2019-10-01 00:00:00;"012/2019";2020-01-15 00:00:00;"001/2020";106;
PJ-00199/2017;GASPAR - BRUSQUE E MACIEIRA - ARROIO TRINTA;2;2020-03-18 00:00:00;"002/2020";2021-02-09 00:00:00;"001/2021";328;
PJ-00199/2017;GASPAR - BRUSQUE E MACIEIRA - ARROIO TRINTA;3;2021-06-01 00:00:00;"007/2021";2021-10-01 00:00:00;"021/2021";122;
PJ-00170/2017;SUPERVISÃO BIGUAÇU -ANTONIO CARLOS;1;2018-11-01 00:00:00;"003.2018";2018-12-17 00:00:00;"005/2018";46;
IC-00001/2017;ENTRONC. BR 153 - CAMPINA DA ALEGRIA (CEL. IRANI);1;2020-05-08 00:00:00;"001/2020";2021-08-01 00:00:00;"001/2021";450;
IC-00002/2017;ENTRONC. BR 153 - CAMPINA DA ALEGRIA (CEL. IRANI);1;2019-12-10 00:00:00;"001/2019";2021-12-01 00:00:00;"01";722;
PJ-00224/2017;ACESSO AO FAROL DE SANTA MARTA;1;2018-06-15 00:00:00;"003/2018";2018-08-08 00:00:00;"002/2018";54;
PJ-00231/2017;TRECHO: URUBICI - ENT. SC-390 BOM JARDIM DA SERRA;1;2022-03-02 00:00:00;"016/2022";;;96;
PJ-00308/2017;CENTRO DE EVENTOS DE BALNEÁRIO CAMBORIÚ;1;2018-08-09 00:00:00;"003/2018";2018-09-03 00:00:00;"002/2018";25;
PJ-00310/2017;MIRIM DOCE - BR470 POUSO REDONDO;1;2018-11-01 00:00:00;"004/2018";2018-12-26 00:00:00;"005/2018";55;
PJ-00311/2017;PASSARELA PARA PEDESTRES - SC401 RATONES;1;2019-09-30 00:00:00;"011/2019";2020-02-13 00:00:00;"002/2020";136;
PJ-00086/2017;REFORMA PARCIAL;1;2018-12-06 00:00:00;"01";2021-08-05 00:00:00;"01 Termo reinício";973;
PJ-00087/2017;REFORMA PARCIAL COBERTURA;1;2018-12-06 00:00:00;"01";;;;
CT-00013/2017/SIE;BR-280 - GUARAMIRIM -JARAGUA DO SUL;1;2018-03-28 00:00:00;"006/2018";2019-11-01 00:00:00;"011/2019";583;
CT-00013/2017/SIE;BR-280 - GUARAMIRIM -JARAGUA DO SUL;2;2020-03-18 00:00:00;"009/2020";2020-04-01 00:00:00;"004/2020";14;
CT-00001/2017/SIE;VIAS MUNICIPAIS;1;2017-07-20 00:00:00;"01";2017-08-24 00:00:00;"015/2017";35;
CT-00001/2017/SIE;VIAS MUNICIPAIS;2;2018-06-01 00:00:00;"11/2018";;;426;
CT-00122/2017/SES-FESAUDE;HOSPITAL E MATERNIDADE TEREZA RAMOS;1;2019-04-17 00:00:00;"1º Termo Paralisação";2020-03-30 00:00:00;"05-2020";348;
CT-00129/2017/SES-FESAUDE;INSTITUTO DE PSIQUIATRIA (HOSPITAL COLÔNIA SANTANA)(DOAÇÃO LEI 17.3762017);1;2017-10-02 00:00:00;"1º Termo Paralisação";2017-11-27 00:00:00;"17/2017";56;
CT-00129/2017/SES-FESAUDE;INSTITUTO DE PSIQUIATRIA (HOSPITAL COLÔNIA SANTANA)(DOAÇÃO LEI 17.3762017);2;2017-12-18 00:00:00;"2 Termo Paralisação";2018-03-19 00:00:00;"2º Termo Reinício";91;
CT-00130/2017/SES-FESAUDE;SES - SECRETARIA DE ESTADO DA SAÚDE;1;2017-11-06 00:00:00;"30/12/2017";2018-01-29 00:00:00;"1º Termo Reinício ";84;
CT-00058/2017/SSP-FMSP;DELEGACÍA DE POLÍCIA CIVIL;1;2017-06-08 00:00:00;"1";2017-09-04 00:00:00;"1";88;
CT-00187/2017/SES-FESAUDE;HOSPITAL REGIONAL DE SÃO JOSÉ - DR. HOMERO DE MIRANDA GOMES;1;2018-01-02 00:00:00;"1º Termo Paralisação";2018-02-28 00:00:00;"1º Termo Reinício";57;
CT-00006/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;1;2017-05-28 00:00:00;"01/2017";2018-08-15 00:00:00;"01/2018";444;
CT-00006/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;2;2018-08-16 00:00:00;"01/2017";2018-08-26 00:00:00;"01/2018";10;
CT-00007/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;1;2017-08-09 00:00:00;"01/2017";;;0;
CT-00008/2017/ADR-CUA;EEB JOAQUIM RAMOS - EPAGRIGR CRICIÚMA;1;2017-04-07 00:00:00;"01";2017-06-09 00:00:00;"01";63;
CT-00033/2017/DETER;ATERRO DA BAHIA SUL - TERMINAL RITA MARIA;1;2017-03-31 00:00:00;"1";2017-08-01 00:00:00;"1";123;
CT-00073/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;1;2017-07-03 00:00:00;"01/2017";2017-09-25 00:00:00;"04/2017";84;
CT-00073/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;2;2018-01-12 00:00:00;"01/2018";2018-02-04 00:00:00;"01/2018";23;
CT-00073/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;3;2018-05-09 00:00:00;"03/2018";2019-03-19 00:00:00;"10º TA";314;
CT-00006/2017/ADR-CCO;MANUTENÇÃO BEM PÚBLICO - ADR DE CHAPECÓ;1;2017-06-07 00:00:00;"01/2017";2017-11-08 00:00:00;"0022017";154;
CT-00009/2017/SDS;CENTRO DE INOVAÇÃO TECNOLÓGICA (FUTURAS INSTALAÇÕES);1;2020-03-19 00:00:00;"01/2020";2020-04-06 00:00:00;"01/2020";18;
CT-00005/2017/ADR-XXE;EEB LUIZ CORADI;1;2017-11-27 00:00:00;"3/2017";2017-11-28 00:00:00;"3/2017";1;
CT-00014/2017/ADR-LGA;RODOVIAS ESTADUAIS;1;2017-09-25 00:00:00;"01";2017-11-15 00:00:00;"01";51;
CT-00006/2017/SIE;AEROPORTO REGIONAL SUL;1;2017-09-18 00:00:00;"01/2017";2017-09-19 00:00:00;"01/2017";1;
CT-00006/2017/SIE;AEROPORTO REGIONAL SUL;2;2017-09-20 00:00:00;"002/2017";2018-08-01 00:00:00;"001/2018";315;
CT-00029/2017/SES-FESAUDE;HOSPITAL REGIONAL HANS DIETER SCHMIDT;1;2020-04-08 00:00:00;PRIMEIRO;;;789;
CT-00016/2017/ADR-LGA;EEB. VISCONDE DO RIO BRANCO;1;2017-10-02 00:00:00;"01";;;1708;
CT-00012/2017/ADR-JGS;EEB ERICH GRUETZMACHER,EEB PROF JOSE DUARTE MAGALHÃES,EEB SÃO PEDRO,EEF LUIZ DELFINO,C.E. VALDETE IN;1;2018-03-12 00:00:00;"2";2018-04-24 00:00:00;"1";43;
CT-00210/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;1;2017-12-22 00:00:00;"12/2017";2018-01-03 00:00:00;"12/2017";12;
CT-00882/2017/SSP-FUMPOM;POLÍCIA MILITAR DE SANTA CATARINA - SEDE DO BOPE E CAVALARIA;1;2017-12-14 00:00:00;"001";2018-06-14 00:00:00;"002-2018";182;
CT-00034/2017/ADR-JVE;CENTRO DE INOVAÇÃO DE JOINVILLE- INOVA@SC (FUTURAS INSTALAÇÕES);1;2018-06-13 00:00:00;"2";;;251;
CT-00121/2017/SED;EEB LAERCIO CALDEIRA DE ANDRADA;1;2019-05-10 00:00:00;TP 1;2019-07-22 00:00:00;TR 1;73;
CT-00241/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;1;2017-12-22 00:00:00;"13/2017";2018-01-03 00:00:00;"13/2017";12;
CT-00241/2017/SDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;2;2018-08-08 00:00:00;"1/2018";2018-11-05 00:00:00;"2";89;
CT-00124/2017/SED;CEDUP GETULIO VARGAS;1;2020-03-18 00:00:00;Decreto;2020-03-25 00:00:00;Port 191/2020;7;
CT-00015/2017/ADR-JGS;MANUTENÇÃO BEM PÚBLICO - ADR DE JARAGUÁ DO SUL;1;2018-03-01 00:00:00;"01";;;1558;
CT-00813/2017/SES-FESAUDE;HOSPITAL REGIONAL HANS DIETER SCHMIDT;1;2019-05-03 00:00:00;"1º Termo Paralisação";2021-06-22 00:00:00;"007/2021";781;
CT-00132/2017/SED;EEM JOÃO GONÇALVES PINHEIRO (VEREADOR OSCAR MANOEL DA CONCEIÇÃO) - ESCOLA JOVEM;1;2018-06-08 00:00:00;"009/2018";2018-09-05 00:00:00;"009/2018";89;
CT-00025/2017/ADR-LGA;CENTRO ADMINISTRATIVO HINDEMBURGO MOREIRA;1;2017-12-21 00:00:00;"001";2018-02-12 00:00:00;"002";53;
CT-00031/2017/ADR-LGA;EEB PREF. PEDRO BITTENCOURT,CENTRO ADMINISTRATIVO HINDEMBURGO MOREIRA,EEB DR. RENATO RAMOS DA SILVA;1;2018-01-23 00:00:00;"001";;;1595;
CT-00007/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;1;2019-05-03 00:00:00;"02";2021-01-04 00:00:00;"18/2020";612;
CT-00007/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;2;2022-02-21 00:00:00;"02";2022-05-12 00:00:00;"02";80;
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;1;2019-10-24 00:00:00;"1º Termo Paralisação";2020-10-06 00:00:00;"15/GEOMA/2020";348;
CT-00013/2017/SES-FESAUDE;HOSPITAL REGIONAL LENOIR VARGAS FERREIRA;2;2021-02-23 00:00:00;"2º Termo Paralisação";2021-03-09 00:00:00;"2/2021";14;
CT-00015/2017/ADR-CCO;RODOVIAS ESTADUAIS;1;2018-02-06 00:00:00;"001";2018-11-22 00:00:00;"01/2018";289;
CT-00015/2017/ADR-CCO;RODOVIAS ESTADUAIS;2;2019-02-13 00:00:00;"01/2019";2019-11-12 00:00:00;"001/2019";272;
CT-00136/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2020-10-08 00:00:00;"1";;;606;
CT-00140/2017/SST;UNIDADE DE ACOLHIMENTO;1;2020-03-18 00:00:00;"01";2020-03-23 00:00:00;"01";5;
CT-00123/2017/SST;CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS;1;2018-05-15 00:00:00;"001";;;0;
CT-00938/2017/SSP-FUMPOM;POLICIA MILITAR DE SANTA CATARINA;1;2018-01-23 00:00:00;"001";2018-06-14 00:00:00;"003/2018";142;
CT-00025/2017/SIE;VIAS MUNICIPAIS;1;2019-01-18 00:00:00;"002/2019/SIE";2019-06-03 00:00:00;"005/2019";136;
CT-00035/2017/ADR-LGA;E.E.B. LUIZ FELIX BARRETO,EEB. PROFESSORA GRACINDA A. MACHADO;1;2018-03-29 00:00:00;"001";2018-08-20 00:00:00;"002";144;
CT-00026/2017/SIE;RODOVIAS ESTADUAIS;1;2018-03-28 00:00:00;"007/2018";2018-04-23 00:00:00;"010/2018";26;
CT-00026/2017/SIE;RODOVIAS ESTADUAIS;2;2018-05-10 00:00:00;"009/2018";2018-05-24 00:00:00;"011/2018";14;
CT-00028/2017/SES-FESAUDE;HOSPITAL REGIONAL SÃO PAULO - XANXERÊ;1;2019-01-10 00:00:00;TP 01;;;1243;
PJ-00012/2016;MORRO DA FUMAÇA - BR 101;1;2016-07-12 00:00:00;"006/2016";2016-08-15 00:00:00;"006/2016";34;
PJ-00029/2016;COSTA DO ENCANTO - VILA DA GLÓRIA - ITAPOÁ;1;2017-01-10 00:00:00;"001/2017";2017-03-01 00:00:00;"003/2017";50;
PJ-00029/2016;COSTA DO ENCANTO - VILA DA GLÓRIA - ITAPOÁ;2;2017-04-03 00:00:00;"007/2017";;;1890;
PJ-00056/2016;PONTE HERCÍLIO LUZ - RESTAURAÇÃO, REABILITAÇÃO;1;2020-03-18 00:00:00;"005/2020";2020-04-01 00:00:00;"013/2020";14;
PJ-00056/2016;PONTE HERCÍLIO LUZ - RESTAURAÇÃO, REABILITAÇÃO;2;2020-06-01 00:00:00;"021/2020";2021-01-12 00:00:00;"001/2021";225;
PJ-00080/2016;TAMANDUÁ - TRECHO: CONCÓRDIA - BR153;1;2017-02-01 00:00:00;"004/2017";2019-09-11 00:00:00;"09/2019";952;
PJ-00093/2016;PONTE HERCÍLIO LUZ - SUPERVISÃO E FISCALIZAÇÃO;1;2019-05-22 00:00:00;"009/2019";2019-06-26 00:00:00;"005/2019";35;
PJ-00087/2016;MANUTENÇÃO PONTES COLOMBO E PEDRO IVO;1;2020-03-18 00:00:00;"008/2020";2020-04-01 00:00:00;"016/2020";14;
PJ-00087/2016;MANUTENÇÃO PONTES COLOMBO E PEDRO IVO;2;2021-10-18 00:00:00;"014/2021";2021-11-04 00:00:00;"025/2021";17;
PJ-00061/2016;SUPERVISÃO ARAQUARI - RIO DO MORRO (JOINVILLE);1;2019-04-12 00:00:00;"005/2019";2019-07-10 00:00:00;"007/2019";89;
PJ-00107/2016;ITUPORANGA - ENTROC. SC-428 (ACESSO A IMBUIA);1;2017-02-16 00:00:00;"001/2017";;;;
PJ-00108/2016;ACESSO AO FAROL SANTA MARTA, MUNICÍPIO DE LAGUNA;1;2016-08-01 00:00:00;"002/2016";2017-07-10 00:00:00;"010/2017";343;
PJ-00138/2016;OTACÍLIO COSTA - ENTR. BR 282;2;2019-02-28 00:00:00;"002/2019";2019-08-12 00:00:00;"004/2019";165;
PJ-00097/2016;RODOVIA SC-390 - TRECHO: ORLEANS - PEDRAS GRANDES;2;2017-02-10 00:00:00;"005/2017";2017-03-15 00:00:00;"006/2017";33;
PJ-00154/2016;OTACÍLIO COSTA - ENTRONC. BR 282;1;2018-10-10 00:00:00;"005/2018";2018-11-26 00:00:00;"006/2018";47;
PJ-00175/2016;SINALIZAÇÃO VALE;1;2019-09-27 00:00:00;"004/2019";2019-11-21 00:00:00;"002/2019";55;
PJ-00193/2016;RANCHOS DE PESCADORES (PHL);1;2016-11-28 00:00:00;"013/2016";2017-11-13 00:00:00;"014/2017";350;
PJ-00230/2016;REABILITAÇÃO SC 407 BIGUAÇU - ANTONIO CARLOS;1;2018-07-02 00:00:00;"002/2018";2018-07-15 00:00:00;"002/2018";13;
PJ-00189/2016;BR 101 - GASPAR (RODOVIA JORGE LACERDA);1;2019-07-01 00:00:00;"010/2019";2019-07-24 00:00:00;"008/2019";23;
PJ-00233/2016;EXEC. OBRAS DE ENGENHARIA;1;2018-01-17 00:00:00;"01";2018-02-26 00:00:00;"01";40;
PJ-00233/2016;EXEC. OBRAS DE ENGENHARIA;2;2018-05-02 00:00:00;"02";2018-08-01 00:00:00;"02";91;
PJ-00233/2016;EXEC. OBRAS DE ENGENHARIA;3;2019-04-12 00:00:00;TP;2019-06-12 00:00:00;"03";61;
PJ-00233/2016;EXEC. OBRAS DE ENGENHARIA;4;2019-09-11 00:00:00;TP 4;2020-09-09 00:00:00;"003/2020";364;
PJ-00233/2016;EXEC. OBRAS DE ENGENHARIA;5;2020-12-21 00:00:00;TP 5;2021-04-13 00:00:00;TR 5;113;
PJ-00234/2016;EXEC. OBRAS E SERVIÇOS DE ENGENHARIA;1;2018-01-17 00:00:00;"01";2018-02-26 00:00:00;"01";40;
PJ-00234/2016;EXEC. OBRAS E SERVIÇOS DE ENGENHARIA;2;2018-05-02 00:00:00;"02";2018-08-01 00:00:00;"02";91;
PJ-00234/2016;EXEC. OBRAS E SERVIÇOS DE ENGENHARIA;3;2019-04-12 00:00:00;TP;2019-06-12 00:00:00;"03";61;
PJ-00234/2016;EXEC. OBRAS E SERVIÇOS DE ENGENHARIA;4;2019-09-11 00:00:00;TP 4;2020-02-19 00:00:00;"001/2020";161;
PJ-00234/2016;EXEC. OBRAS E SERVIÇOS DE ENGENHARIA;5;2020-03-01 00:00:00;TP 6;2020-04-28 00:00:00;"002/2020";58;
