"CONTRATO";"OBJETO_CONTRATO";"NUMERO_ADVERTENCIA";"DATA_ADVERTENCIA";"DESCRICAO_ADVERTENCIA";"MOTIVO_ADVERTENCIA";"SOLICITACAO_ADVERTENCIA"
CT-00182/2020/SES-FESAUDE;MATERNIDADE CARMELA DUTRA (HEMOSC - CEPON);1;2020-10-02 00:00:00;AUSÊNCIA DE FUNCIONÁRIOS NA OBRA DA MCD - VITAIS  ;Estamos advertindo por que os funcionário estão faltando aos trabalhos nos dia 21/09 ausente à tarde 22/09/20 falta integral, 01/10/20 e 02/10/20 faltaram também nestes dois dias, além de constatar nos dias presentes com curto período efetivo de serviços aproximadamente 5 h de duração.;Estamos requerendo que os trabalhos seja contínuo e horário efetivo de um dia seja pelo menos de 8 h, pois o contrato é de 30 dias.
CT-00182/2020/SES-FESAUDE;MATERNIDADE CARMELA DUTRA (HEMOSC - CEPON);2;2020-10-21 00:00:00;AUSÊNCIA DE FUNCIONÁRIOS DA EMPRESA STOP FIRE;"Houve reclamação da Unidade Hospitalar no dia de hoje 21/10/20 no período vespertino sobre a ausência dos funcionários de Empresa Stop Fire.
Para o serviço nesse dia foi programada uma intervenção com a desocupação da Ala de Internação mobilizando a retirada de pacientes e funcionários alterando setor da UNIDADE 1, conforme relato da enfermeira Alessandra. Alem disso, as ferramentas foram deixadas no local.";que conforme reclamação, a empresa hore o compromisso de trabalhar no setor UNIDADE 1, pois ficou desocupado para isso. é considerado uma caso gravíssimo.
CT-00182/2020/SES-FESAUDE;MATERNIDADE CARMELA DUTRA (HEMOSC - CEPON);3;2020-10-22 00:00:00;SERVIÇO INTERFERINDO NO ATENDIMENTO HOSPITALAR PÚB;"Houve nova reclamação da direção da MCD contra a Empresa Stop Fire no dia seguinte 22/10/20 no período matutino,  que os funcionário da Empresa Stop Fire estavam criando problema no atendimento médico com barulho de máquinas.
A Empresa não formaliza as informações dos fatos ocorrido, comunica com o fiscal do contrato sem esclarecer o que está acontecendo, repassando as informações de áudios do seu funcionário pela Watt Zap. 


";a empresa deverá organizar e coordenar melhor seus trabalhos sem prejudicar o atendimento público.
CT-00098/2020/SED;EEB PEDRO II;1;2021-11-17 00:00:00;Notificação ;Mediante solicitação de supressão de itens do contrato por parte da Contratada, sob a justificativa de os mesmos se tornarem inexequíveis após a alta de preços decorrente da pandemia, salientamos que existem ferramentas contratuais e jurídicas, como o reequilíbrio, para a solução do problema sem que haja decréscimos no objetivo final licitado.  ;Solicitamos a retomada da obra para que seja executado os serviços pertinentes a cobertura das calçadas que interligam os blocos de salas de aula, visto que este item possui relevância significativa para o objeto licitado e para o conforto dos usuários do educandário em questão. 
CT-00240/2020/SES-FESAUDE;EDIFÍCIO HALLEY;1;2021-06-21 00:00:00;Vazamentos ocorrido nos dias 9. 10 e 19/06/2021;Ocorreram vários pontos de vazamentos no prédio do anexo 1 da SES devido a forte chuvas nestes dias. Porém o empenho do termo aditivo de valor que trata da troca das telhas se deu apenas no dia 09/06/2021, impossibilitando a empresa em comprar as telhas antes desse período, fazendo com que ocorresse vários problemas de infiltrações. Porém a empresa já solicitou a compra dessas telhas mas com dificuldade em adquiri-los em tempo hábil.;Mas com a deterioração as telhas existentes e para que não ocorra mais vazamentos, sendo que o termo aditivo de valor já está aprovado, solicitamos que a empresa adquira o mais brevemente possível uma quantidade de telha necessária para que não ocorra mais infiltrações e que seja verificado as calhas que já estão impermeabilizadas, para evitar novos transtornos já mencionados. 
CT-00020/2020/SANTUR;SANTUR-PARQUE CYRO GEVAERD;1;2021-01-04 00:00:00;Atraso na motagem dos elevadores.;O atraso no termino da montagem dos elevadores, varias vistas foram feitas para dirimir duvidas sobre as instalações e essa empresa não atendo aos prazos contratuais, trazendo transtornos para aquele equipamento no tocante a finalização do serviços.   ;Solicitamos a imediata finalização dos serviços, sob pena da aplicação de multas de acordo com as cláusulas contratuais e a legislação vigente.
CT-00023/2020/SAP-FPSC;UNIDADE PRISSIONAL AVANÇADA (DEAP);1;2020-12-23 00:00:00;Advertência. ;" O não cumprimento dos pré-requisitos constante ao Contrato, conforme cláusulas contratuais. Data de entrega dos projetos até 23/12/2020, conforme registro no SICOP. 


";"Solicitamos a empresa a finalização dos seguintes projetos: 1- Projeto Elétrico;  2 Hidrossánitario;  3 - Planialtimétrico.

Diante dos fatos, essa Gerência Técnica de Edificações, estabelece um prazo de 15 (quinze)dias para efetuar as devidas correções que estão mencionadas no parecer técnico. 
"
CT-00045/2020/SAP-FPSC;UNIDADE PRISSIONAL AVANÇADA - UPA DE VIDEIRA;1;2021-01-15 00:00:00;Reiterados atrasos de entrega dos projetos;Desde 20/04/2020 após a entrega da Ordem de Serviço a empresa ISD vem em inúmeras oportunidades atrasando a entrega dos projetos executivos a qual foi contratada. O contrato venceu em 15/01/2021 e até o momento 24/05/2021 a mesma ainda não entregou a totalidade dos arquivos dos projetos bem como orçamento final. ;Assim pedimos ao setor de contratos dessa Secretaria de Estado que seja imposta a CLÁUSULA DÉCIMA SEGUNDA - DA INEXECUÇÃO E DA RESCISÃO DO CONTRATO.
CT-00012/2020/SSP-FMPC;ACADEPOL-ACADEMIA DE POLICIA CIVIL;1;2020-07-20 00:00:00;Operários sem uso de EPI na obra;Comunicamos que os trabalhadores da contratada encontravam-se trabalhando na cobertura da edificação sem o uso do Equipamento de Proteção individual (cintos de segurança e proteção) na visita realizada pela Fiscal no dia 20/07/2020 por volta das 10:30h da manhã. ; Uso dos equipamentos de proteção individual durante todo o tempo por qualquer trabalhador ou visitante da obra em local que ofereça risco. 
CT-00120/2020/SED;EEB GETÚLIO VARGAS;1;2021-05-12 00:00:00;FALTA DE EPI, ENCARREGADO E RITMO LENTO;POR NÃO FORNECER E COBRAR USO DE EPI DOS FUNCIONÁRIOS, DISPONIBILIZAR PUOCOS FUNCIONÁRIOS PARA EXECUTAR SERVIÇOS E FALTA DE ENCARREGADO NA PARTE DE EMPLIAÇÃO.;DEVERÁ FORNECER EPI PARA OS FUNCIONÁRIOS (CAPACETE, LUVAS, CINTO DE SEGURANÇA E UNIFORME/CRACHA DE IDENTIFICAÇÃO) DEVERÁ MANTER NA OBRA ENCARREGADO HABILITADO PARA O BOM DESEMPENHO DOS SERVIÇOS EXECUTADOS, DEVERÁ DISPONIBILIZAR NÚMERO ADEQUADO DE FUNCIONÁRIOS PARA EXECUÇÃO DOS SERVIÇOS, FOI VERIFICADO APENAS 7 FUNCIONÁRIOS NA AMPLIAÇÃO TRABALHANDO COM REBOCO E AZULEJOS, SEM NINGUEM NA PARTE ELÉTRICA E HIDRÁULICA, SEM ENCARREGADO, DEVERÁ MENTER DIÁRIO DE OBRA ATUALIZADO IN LOCO.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;2;2021-05-28 00:00:00;Dano a equipamentos da escola, ritmo lento da obra;"Por danificar equipamentos de Informática da escola Computador (CPU), Teclado e Projetor causados por .retirada de parte do telhado do Bloco 03 ao lado da Ampliação.
Por não disponibilizar funcionários suficiente para execução dos serviços do contrato em especial na Ampliação.";Deverá restituir à escola os equipamentos danificados o mais breve possível, também deve disponibilizar funcionários suficiente e habilitados para execução dos serviços sob pena das demais sanções prevista na CLÁUSULA NONA do contrato CT-00120/2020/SED.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;3;2021-06-23 00:00:00;PARALISAÇÃO DOS SERVIÇOS DO CONTRATO CT-00120/2020;POR PARALISAR OS SERVIÇOS DO CONTRATO CT-00120/2020/SED CONFORME VISTORIA EM OBRA E COMUNICADO À SECRETARIA DE ESTADO DA EDUCAÇÃO-SED PELO PROCESSO SED/56676/2021.;"Deverá retornar a execução dos serviços do contrato CT-00120/2020/SED sob risco de aplicação das demais penalidades prevista na CLÁUSULA NONA do presente contrato.
PRAZO IMEDIATO."
CT-00120/2020/SED;EEB GETÚLIO VARGAS;4;2021-10-08 00:00:00;Ritmo Lento;Conforme especificado em diário de obra, observou-se número de funcionários insuficientes se comparado com o vulto de serviço existente e até momento não iniciado. ;A empresa deve aumentar o ritmo de execução dos serviços e abrir imediatamente novas frentes de trabalho.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;5;2021-12-07 00:00:00;Iniciar a instalação da entrada de energia;Estabelecer a ligação definitiva para o inicio do ano letivo.;A empresa deve iniciar a execução da entrada de energia e posteriormente solicitar a ligação para a CELESC.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;6;2021-12-17 00:00:00;Ritmo lento;Efetivo de funcionários e, segundo relatos, dos mesmos há falta de material.;"Que a empresa execute os itens apontados e abram novas frentes de serviço IMEDIATAMENTE:
1) Iniciem a ampliação da cozinha;
2) Iniciem a entrada de energia;
3) Conclua a instalação elétrica dos blocos 05 e ampliação;
4) Conclua o revestimento dos banheiros dos blocos 05;
5) Conclua o esgoto do todos os banheiros;
6) Conclua a ligação do esgoto na rede;
Salienta-se que para cumprir o cronograma a empresa deverá aumentar o efetivo de funcionários. "
CT-00120/2020/SED;EEB GETÚLIO VARGAS;7;2021-12-28 00:00:00;Serviços com manifestações patológicas;"Presença de manifestações patológicas em serviços já executados. Tais como: 1) Infiltração no auditório com danos a pintura (interna e externa); 2) infiltração na rampa do acesso principal da escola; 3) danos na pintura do forro de madeira na junção de peças; 4) descolamento de piso podo tátil; 5) barras de acessibilidade instaladas em desacordo com a NBR9050; 6) Infiltração no bloco ampliação.";Que a empresa identifique e elimine o agente causador de tais manifestações patológicas e realize as correções necessárias. Não será aceito, em hipótese alguma, reparos em pinturas que propiciem diferenças de tonalidade nos elementos. Reinstale as barras de acessibilidade de acordo com a NBR9050. Revise e substitua telhas com problema no bloco ampliação.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;8;2021-12-29 00:00:00;Ritmo lento;Ritmo lento para a finalização dos serviços já iniciados.;Que a empresa inicie a conclusão das instalações elétricas iniciadas, conclua a instalação de esgotamento sanitário. 
CT-00120/2020/SED;EEB GETÚLIO VARGAS;9;2022-03-16 00:00:00;Instalção acessibilidade banheiros;Instalação da acessibilidade dos banheiros em desacordo com as normas de acessibilidade.;Imediata correção do serviço.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;10;2022-03-24 00:00:00;Falta de materiais;"Devido a falta de materiais, como tubulação de esgoto, falta de telha, falta de madeira para a conclusão do telhamento do bloco 03, falta de forra/marco de portas, falta de telha para a conclusão do telhado do bloco 03 e passarela. 
Demora na conclusão dos serviços dos bloco 05, como conclusão do laboratório de informática e sala dos professores.";Que seja sanado imediatamente a falta de material na obra. Que os serviços já iniciados sejam concluídos o mais rápido possível, salienta-se que são serviços pequenos, porém fazem diferença na qualidade do atendimento à comunidade escolar.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;11;2022-03-31 00:00:00;Execução de guarda-corpo ;Em vistoria da obra no dia 05/04/2022, a fiscalização foi indagada, de forma incisiva e grosseira, por um funcionário que estava executando a estrutura metálica do guarda-corpo do bloco 05. O motivo da revolta foi devido ao fato de que a fiscalização, no dia anterior, solicitou e encaminhou fotos para o preposto da obra reclamando da qualidade do serviço e que o mesmo tinha sido chamado a atenção.;Que o funcionário seja advertido e proibido de questionar o papel da fiscalização da obra, que tem papel fundamental do cumprimento do contrato e não pode, em hipótese alguma,  ser coagido por qualquer representante da empresa.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;12;2022-05-20 00:00:00;Ritmo lento;Ritmo lento na execução dos serviços;Aumentar o ritmo de execução dos serviços e apresentar cronograma de conclusão da obra.
CT-00120/2020/SED;EEB GETÚLIO VARGAS;13;2022-05-26 00:00:00;Instalação Elétrica;Instalação elétrica bloco 05;Que seja revista a posição da instalação elétrica dos condicionadores de ar do bloco 05 em um prazo de 10 (dez) dias.
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;1;2021-01-29 00:00:00;EXECUÇÃO DA COBERTURA DA UNIDADE DE SAÚDE;Conforme imagens fotográficas da execução do madeiramento da cobertura, observa-se que o material empregado, bem como a execução está em desacordo com a planilha orçamentária, memorial descritivo e normas vigentes (NBR 7190).;Rever a execução e materiais empregados, obedecendo as descrições dos documentos citados acima.
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;2;2021-08-23 00:00:00;ATRASO NA EXECUÇÃO DA OBRA;A obra deste referido contrato, iniciada no dia 22/07/2020 encontra-se em um ritmo de execução lento. Além disso, a obra apresenta diversos serviços inacabados e correções solicitadas pela fiscalização ainda pendentes.;Em vista da necessidade de finalização e entrega da obra, solicito agilidade na conclusão dos serviços e entrega da obra.
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;3;2021-08-31 00:00:00;ATRASO NA OBRA;Conforme diversas visitas realizada pela fiscalização foi possível verificar que a obra encontra-se paralisada não sendo realizados os serviços nos últimos dois meses. ;A retomada e conclusão dos serviços pendente imediatamente, com prazo para conclusão no dia 15/09/2021. A fiscalização informa que a empresa já possui 3 advertências podem ser passível de sanções. 
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;4;2021-10-15 00:00:00;ATRASO NA EXECUÇÃO DA OBRA;A empresa não executou os ajustes apontados pela fiscalização, segundo o relatório enviado no dia 06/10/2021 com o prazo de conclusão para o dia 14/10/2021. A obra apresenta grave infiltração, sanitário e torneira sem vazão, tomadas danificadas, fechaduras inadequadas, entre outras coisas. ;Reparo urgente nas pendências apontadas, com o prazo para conclusão no dia 20/10/2021 estando sujeito a novas advertências e possíveis sanções contratuais. 
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;5;2021-10-21 00:00:00;ATRASO NA FINALIZAÇÃO DA OBRA;A empresa continua sem executar os serviços pendentes apontados pela fiscalização, segundo o relatório enviado no dia 06/10/2021, com prazo prorrogado para o dia 20/10/2021. A obra continua apresentando grave infiltração, sanitários e torneiras sem vazão, tomadas danificadas, fechaduras inadequadas, entre outras pendências.;Reparo urgente nas pendências apontadas, com o prazo prorrogado para conclusão no dia 27/10/2021 estando sujeito a novas advertências e possíveis sanções contratuais. A empresa deve acusar o recebimento da advertência. 
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;6;2021-11-30 00:00:00;ATRASO NA EXECUÇÃO E PENDÊNCIAS.;A empresa continua sem executar as pendências na obra apontada pela fiscalização e não cumpriu o prazo estabelecido. ;Que a contratada corrija as pendências apontadas até o dia 06/12/2021.
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;7;2022-01-14 00:00:00;PLACA DA OBRA;A fiscalização não localizou na obra a Placa de Obra, sendo que este item deve permanecer na obra até a sua inauguração.;A contratada providencie/recupere/reinstale urgentemente a placa de obra com o prazo de até 18/01/2022. 
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;8;2022-01-17 00:00:00;RESERVATÓRIO;"Foi observada que a contratada não fechou os reservatórios e deixou uma das entradas laterais de tabulação aberta. Cabe ressaltar que a NBR 5626, Item 5.2.4.3, prevê que: ""O reservatório deve ser um recipiente estanque que possua tampa ou porta de acesso opaca, firmemente presa na sua posição, com vedação que impeça a entrada de líquidos, poeiras, insetos e outros animais no seu interior"".";Que a contratada feche o reservatório e a entrada de tabulação lateral, com o prazo de até 18/01/2022, podendo está sujeita a sanções contratuais. 
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;9;2022-01-19 00:00:00;ATRASO ;A contratada retirou a placa de obra sem a autorização da Administração, sendo este um item de propriedade do Estado, e não acatou o pedido da fiscalização em fazer a sua reinstalação/recuperação com o prazo de até 18/01/2022. Além disso, a contratada não realizou os reparos solicitados no tocante ao reservatório. ;Que a contratada execute prontamente as solicitações com o prazo de até 24/01/2022 estando sujeita a sanções contratuais. 
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;10;2022-01-19 00:00:00;PENDÊNCIAS;Após os últimos reparos executados pela contratada, foi observado o surgimento de novas infiltrações, fissuras consideráveis na laje e fixação deficiente na cobertura, conforme explanado no OFÍCIO N°9/2022/SIE/CRMEI enviado a contratada.;Que a contratada execute as correções urgentemente com o prazo de até 24/01/2022, sendo o seu descumprimento estando sujeito a sanções contratuais.  
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;11;2022-01-25 00:00:00;ATRASO;A contratada não executou os reparos apontados pela fiscalização, conforme as advertências 7,8,9 e 10 e os ofícios 7,9 e 10 enviado para a contratada. Além disso, a contrata vem descumprindo sucessivamente os prazos estabelecidos pela fiscalização (18/01/2022 e 24/01/2022).;Que a contratada faz os reparos apontados imediatamente. 
CT-00050/2020/SAP-FPSC;COMPLEXO PENITENCIÁRIO DA REGIÃO DE CURITIBANOS;12;2022-01-28 00:00:00;ATRASO;"A contratada não concluiu as pendências apontadas pela fiscalização. Conforme vistoria realizada foi notado que: 1 - A contrata não devolveu a placa de obra, retirando tal item sem a autorização da fiscalização; 2 - A obra permanece com fissuras; 3 - Não fez o reparo na pintura causado pela infiltração e 4 - Não fez o reparo na fixação das telhas conforme a NBR 7581, solicitado pela fiscalização.";"1 - A fiscalização solicita pela 5ª vez (14/01/2022, 17/01/2022, 19/01/2022 e 25/01/2022) que a placa de obra seja devolvida (Cabe enfatizar que tal item é propriedade do Estado); 2 -  Que a contratada faça o reparo nas fissuras da obra; 3 - Faça o reparo na pintura danificada pela infiltração; 4 - Faça a fixação das telhas conforme a norma técnica. Além disso, a contratada não cumpriu o prazo estabelecido pela fiscalização, a saber: 24/01/2022. 

Assinar a advertência e devolver ao fiscal."
SO-00013/2020/SED;MANUTENÇÃO BEM PÚBLICO - ADR DE JARAGUÁ DO SUL;1;2020-11-20 00:00:00;Advertência 01 por não atendimento de prazo;"que não atendeu prazo de início dos serviços após emissão da OS. Conforme cláusula 12.5.1:
""A empresa deverá iniciar os serviços no prazo de 24h após recebimento da Ordem de Serviços ? OS. Sendo a solicitação enviada por e-mail, contato telefônico, mensagem de mídia social ou qualquer outro meio que a CONTRATANTE ache necessário para comunicação com a mesma.""";o atendimento do pedido de sondagem nas próximas 24h.
CT-00150/2020/SED;SECRETARIA DE ESTADO DA EDUCAÇÃO;1;2021-01-12 00:00:00;Atraso de Entregas - Projetos Executivos;A empresa Dal Forno e Martins Engenharia LTDA. ME. não realizou as entregas por ela estipuladas para o prazo.;Solicita-se que a Dal Forno e Martins Engenharia LTDA. ME. justifique os atrasos e forneça o cronograma atualizado e compatível à vigência do contrato. 
CT-00148/2020/SED;EEF MONT ALVERNE;1;2021-11-12 00:00:00;Notificação por atraso na conclusão de serviços ;Lentidão na conclusão dos serviços;Que se instale a rede lógica e conclua demais serviços com agilidade
CT-00361/2020/SES-FESAUDE;MATERNIDADE CARMELA DUTRA (HEMOSC - CEPON);1;2021-09-08 00:00:00;Acidente de trabalho;Em 28/08/2021, parte do Serviço de Nutrição e Dietética SND, abaixo da área em reforma, foi isolada para execução das instalações sanitárias. Onde a equipe da SND estava trabalhando, caiu um bloco de concreto com diâmetro de 10 cm por 35 cm de altura. Não atingiu ninguém nem equipamentos, somente o piso foi danificado. A fiscalização solicitou que fossem tomadas todas as providências para evitar outro acidente. No dia 04/09/2021, outro bloco caiu;atenção às normas, garantindo a segurança de seus funcionários e de todos os usuários da Maternidade, principalmente durante execução de serviços de demolição
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;1;2020-09-29 00:00:00;Descumprimento do contrato;"Conforme o contrato a empresa deverá iniciar os serviços no prazo de 24h após o recebimento da Ordem de Serviço, porém o prazo não está sendo respeitado pela empresa que até agora não iniciou os serviços em várias escolas.
Algumas O.S. foram enviadas há mais de uma semana e a empresa não deu nenhuma resposta com prazo e programação pra execução dos serviços.";Solicito o início imediato da execução das Ordens de Serviço enviadas e uma lista com a programação de execução de cada Ordem de Serviço.
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;2;2020-12-08 00:00:00;ATRASO NAS OBRAS;"Conforme o contrato a empresa deverá iniciar os serviços no prazo de 24h após o recebimento da Ordem de Serviço, contudo existem Ordens de Serviços com mais de meses que não foram iniciadas.
";"Solicito que seja iniciado imediatamente a execução das Ordens de Serviços já emitidas conforme segue: O.S 0007 EEB CEL. ANTÔNIO LEHMKHUL (emitida em 19/10/2020); O.S 0002 EEB NEREU RAMOS (emitida em 08/09/2020); O.S 0001 EEF PROFESSORA MARIA CLEMENTINA DE SOUZA LOPES (EMITIDA EM 17/09/2020); O.S 0005 EEB JOÃO SILVEIRA ( emitida em 17/09/)."
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;3;2021-02-10 00:00:00;ATRASO NOS SERVIÇOS.;"POR NÃO EXECUTAR OS SERVIÇOS DENTRO DO PRAZO PREVISTO,EEB NEREU RAMOS OS's EMITIDAS EM 08/09/2020 E 01/02/2021 NÃO INICIADOS, EEB BENONIVEO JOÃO MARTINS OS's EM 16/12/2020 E 04/01/2021 SERVIÇOS NÃO INICIADOS, EEB PADRE VICENTE FERREIRA CORDEIRO OS's04/01/2021 SERVIÇOS NÃO INICIADOS; EEB PROFESSORA URSULINA SENNE DE CASTRO OS's EMITIDA EM 28/01/2021 SERVIÇO NÃO INICIADO; EEB GOVERNADOR IVO SILVEIRA OS's EMITIDA EM 29/01/2021 SERVIÇO NÃO INICIADO; EEB GOVERNADOR PEDRO IVO DE FIGUEIREDO CAMPOS.";SOLICITO QUE SEJA INICICADO E FINALIZADO OS SERVIÇOS LISTADOS E OUTOS PENDENTE COM ENTREGA FINAL EM 17/02/2021.
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;4;2021-02-23 00:00:00;ATRASO NO INICIO DA EXECUÇÃO DE ORDEM DE SERVIÇO;"POR NÃO DAR INÍCIO A ORDEM SERVIÇO DENTRO DO PRAZO PREVISTO NO CONTRATO MN-17201/2020/SED - CLÁUSULA SÉTIMA ? OBRIGAÇÕES E RESPONSABILIDADES DA CONTRATADA- Iniciar os serviços na data estabelecida neste instrumento. A empresa deverá iniciar
os serviços no prazo de 24h após recebimento da Ordem de Serviços ? OS.
REFERNTE A EEB NEREU RAMOS OS's EMITIDAS EM 08/09/2020 E 01/02/2021 NÃO INICIADOS, ";INICIAR IMEDIATAMENTE OS SERVIÇOS.
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;5;2021-02-24 00:00:00;ATRASO NO INÍCIO DO SERVIÇO;"POR NÃO DAR INÍCIO A ORDEM SERVIÇO DENTRO DO PRAZO PREVISTO NO CONTRATO MN-17201/2020/SED - CLÁUSULA SÉTIMA ? OBRIGAÇÕES E RESPONSABILIDADES DA CONTRATADA- Iniciar os serviços na data estabelecida neste instrumento. A empresa deverá iniciar
os serviços no prazo de 24h após recebimento da Ordem de Serviços ? OS.
REFERNTE A EEB PROFESSORA URSULINA SENNA DE CASTRO PEDIDO 0002/2020 E OS Nº 20 EMITIDA EM 29/01/2021 SERVIÇOS NÃO INICIADOS.";INICIAR IMEDIATAMENTE OS SERVIÇOS.
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;6;2021-02-25 00:00:00;ATRASO NO INÍCIO DOS SERVIÇOS;"POR NÃO DAR INÍCIO A ORDEM SERVIÇO DENTRO DO PRAZO PREVISTO NO CONTRATO MN-17201/2020/SED - CLÁUSULA SÉTIMA ? OBRIGAÇÕES E RESPONSABILIDADES DA CONTRATADA- Iniciar os serviços na data estabelecida neste instrumento. A empresa deverá iniciar os serviços no prazo de 24h após recebimento da Ordem de Serviços ? OS.
REFERNTE A EEF VENCESLAU BUENO PEDIDO 0001/2020 E OS Nº 25 EMITIDA EM 08/02/2021 SERVIÇOS NÃO INICIADOS.";DEVERÁ INICIAR OS SERVIÇOS IMEDIATAMENTE.
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;7;2021-03-01 00:00:00;SERVIÇOS COM PROBLEMAS NA EXECUÇÃO.;"Serviços executados e serviços que ainda não foram executados causando prejuízo aos bens Público do Estado.
EEB PROF. MARIA DO CARMO SOUZA - OS 15.
EEB GOVERNADOR IVO SILVEIRA - OS 19.
EEB GOVERNADOR PEDRO IVO FIGUEIREDO DE CAMPOS - OS 21.
";"OS 15 - Refazer serviços de revisão de telhamento no bloco C local continua com infiltrações.
OS 19 - Realizar a finalização do serviço revisão de cobertura telha de fibrocimento, só executado limpeza das calhas. 
OS 21 - Refazer serviço de revisão de telhamento nas salas de aula, segue com infiltrações em alguns pontos.
"
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;8;2021-03-17 00:00:00;SERVIÇO EXECUTADO EM DESACORDO E OU NÃO EXECUTADO.;POR NÃO TER EXECUTADO SERVIÇO DE REVISÃO DE TELHADO DESCRITO NA OS 0019 EEB GOVERNADOR IVO SILVEIRA EMITIDA EM 29/01/2021 E QUE JÁ FORAM EMITIDA AS ADVERTENCIAS 3 E 7 COM RELAÇÃO A ESTA ORDEM DE SERVIÇO E NÃO ATENDIDA.;REALIZAR O SERVIÇO IMEDIATAMENTE SOB PENA DE SANSSÕES ADMINISTRATIVAS.
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;9;2021-03-29 00:00:00;NÃO EXECUÇÃO DAS ORDENS DE SERVIÇO.;POR NÃO TER DADO INÍCIO E TAMPOUCO TERMINADO OS SERVIÇOS DAS OS'S 02 E 22 DA EEB NEREU RAMOS JÁ ADVERTIDOS ANTERIOMENTE POR MEIO DAS ADVERTÊNCIAS 2, 3 E 4.;Que inicie e conclua os serviços relacionados nas Ordens de Serviço imediatamente, sob pena de sansões administrativas legais por parte da gestora do contrato.
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;10;2021-03-30 00:00:00;ATRASO NO INÍCIO E FINALIZAÇÃO DE OS's.;"POR NÃO TER DADO INÍCIO E TAMPOUCO TERMINADO OS SERVIÇOS DAS OS'S 23 E 24 DA EEB PROFESSORA ZULMA BECKER  DENTRO DO PRAZO PREVISTO NO CONTRATO MN-17201/2020/SED - CLÁUSULA SÉTIMA ? OBRIGAÇÕES E RESPONSABILIDADES DA CONTRATADA- Iniciar os serviços na data estabelecida neste instrumento. A empresa deverá iniciar
os serviços no prazo de 24h após recebimento da Ordem de Serviços ? OS.";Deverá iniciar e concluir imediatamente os serviços listados nas OS's.
MN-17201/2020/SED;MANUTENÇÃO PRÉDIOS GRANDE FLORIANÓPOLIS;11;2021-03-30 00:00:00;Atraso no início dos serviços.;"POR NÃO TER DADO INÍCIO E TAMPOUCO TERMINADO OS SERVIÇOS DAS OS 14 DA EEB PADRE FERREIRA CORDEIRO DENTRO DO PRAZO PREVISTO NO CONTRATO MN-17201/2020/SED - CLÁUSULA SÉTIMA ? OBRIGAÇÕES E RESPONSABILIDADES DA CONTRATADA- Iniciar os serviços na data estabelecida neste instrumento. A empresa deverá iniciar
os serviços no prazo de 24h após recebimento da Ordem de Serviços ? OS.
O ginásio está com destelhamento o que ocasiona a entrada de agua e deterioração do Bem Público, conforme fotos.";Iniciar imediatamente os serviços listados na OS.
